mm,p,total,spread_capture,inventory_mtm,pnl_vs_noise,pnl_vs_informed
MM0,0.0,18227.1,18664.9,-437.8,18227.1,0.0
MM0,0.05,-16566.6,-15880.4,-686.2,1006.1,-17572.6
MM0,0.1,-57430.2,-58223.3,793.1,-18085.4,-39344.8
MM0,0.2,-157347.0,-151963.9,-5383.1,-60645.4,-96701.6
MM1,0.0,18300.3,18343.0,-42.7,18300.3,0.0
MM1,0.05,18638.7,19157.0,-518.3,26690.5,-8051.8
MM1,0.1,18098.3,19172.8,-1074.5,28397.0,-10298.7
MM1,0.2,17823.2,19152.0,-1328.8,30766.4,-12943.2
MM2,0.0,18515.3,18578.8,-63.5,18515.3,0.0
MM2,0.05,19246.9,19919.1,-672.2,27685.6,-8438.7
MM2,0.1,18813.1,19645.6,-832.5,29778.9,-10965.7
MM2,0.2,18289.8,19897.3,-1607.5,30408.8,-12119.0
